Instances,feature_Max_Normalized_Entropy_attributes,feature_Normalized_Entropy_Class_Attribute,feature_Mean_Mutual_Information_Attribute_Class,feature_ErrorRate_Decision_Node,feature_WeightedDist_StdDev,feature_Max_Feature_Efficiency_F3,feature_Collective_Feature_Efficiency_F4,feature_Training_Error_Linear_Classifier_L2,feature_Fraction_Points_Class_Boundary_N1,feature_Nonlinearity_Nearest_Neighbor_Classifier_N4,algo_NB,algo_LDA,algo_QDA,algo_CART,algo_J48,algo_KNN,algo_L_SVM,algo_poly_SVM,algo_RBF_SVM,algo_RandF
wall2,0.329245927,0.138125031,0.613936479,0.112011084,4.47264501,0.765304253,0.898964435,0.161290325,0.012188416,0.036748528,0.062492634,0.190019683,0.061071539,0,0,0.0062546,0.026267103,0.0298962,0.01862391,8.52e-05
wall24,0.329259901,0.138125031,0.244614709,0.182098432,2.912983859,0.423432909,0.961052001,0.16907991,0.117439516,0.210250169,0.282741464,0.212999768,0.201227013,0.011996536,0.002406137,0.077842013,0.175895865,0.091672043,0.072000712,0.004050958
wall4,0.329262384,0.138125031,0.411413486,0.306090801,5.194630175,0.765304253,0.996792525,0.160007333,0.031020895,0.106900647,0.068984811,0.18573399,0.06911916,0,0,0.017732743,0.026073998,0.070892801,0.028951207,8.5e-05
wave,0.332637398,0.128978176,0.164905656,0.31699272,1.518535325,0.169000002,0.293266669,0.124133336,0.213533332,0.080533326,0.12682524,0.09249072,0.09782204,0.16982984,0.15140572,0.12756,0.08635704,0.09861092,0.09127472,0.09887388
wave2,0.33264198,0.128980819,0.086720895,0.28998656,1.593757029,0.20766667,0.333800053,0.119933337,0.24726667,0.051200012,0.13329288,0.09273488,0.10684536,0.17160192,0.16879668,0.14586932,0.09087944,0.09622804,0.09274204,0.09489004
weight,0.326269141,0.162905665,0.905236575,0.288674311,0.520715181,0.863071561,0.994184923,0.001292247,0.003578529,0.000198817,0.00280174,0.002708368,0.713410003,0.002213223,0.00097619,0.002846467,0.00113817,0.001745626,0.004711833,0.001192051
wholesale,0.319633873,0.103323708,0.145270976,0.138636364,1.968717236,0.418181807,0.62045455,0.309090912,0.200000003,0.082954526,0.097727273,0.156818182,0.118181818,0.079545455,0.097727273,0.111363636,0.088636364,0.197727273,0.093181818,0.081818182
wilt,0.326782299,0.024744944,0.015176987,0.053933747,2.321245964,0.150650963,0.347592473,0.053936765,0.089274645,0.266583979,0.108905258,0.058275585,0.019218298,0.021078658,0.018186096,0.029137365,0.038851103,0.053935458,0.01901297,0.017566261
wine,0.31057705,0.209587767,0.341588466,0.333335169,0.577281319,0.689138571,0.98501871,0.06928839,0.078651685,0.017790258,0.01600022,0.003932584,0.007771536,0.081792979,0.046950503,0.035580524,0.030617978,0.027954028,0.007428215,0.01170412
wine_quality,0.329151797,0.145086699,0.046484078,0.374156927,5.507321491,0.150201196,0.231315568,0.142197497,0.176499046,0.402086675,0.344279633,0.299778845,0.671577967,0.315889895,0.249595628,0.216369243,0.304926998,0.28802014,0.275802353,0.18821932
winsconsin,0.305765065,0.099195866,0.352238469,0.090771526,3.618309906,0.121522695,0.243045375,0.032210834,0.060029283,0.038067341,0.038150043,0.039535379,0.049808184,0.045375107,0.045396419,0.036636829,0.032246377,0.045417732,0.03226769,0.026364024
wpbc,0.304302898,0.103632009,0.015104738,0.237894737,0.812286372,0.176767677,0.98989892,0.237373739,0.424242437,0.24494952,0.327894737,0.187105263,0.232105263,0.267368421,0.237368421,0.232894737,0.192105263,0.232368421,0.222368421,0.202105263
wpbc_no_Nas,0.305485125,0.103975788,0.014623305,0.236052632,0.812286372,0.180412367,0.994845152,0.237113401,0.422680408,0.247422695,0.350526316,0.211315789,0.232105263,0.272894737,0.252105263,0.268947368,0.201315789,0.237105263,0.216315789,0.216315789
zoo,0.305459109,0.359039314,0.400484865,0.255490549,0.929138259,0.736916551,0.91089109,0.038189533,0.046676097,0.018387556,0.006471647,0.759909991,0.759909991,0.026435644,0.012709271,0.006633663,0.0039964,0.198991899,0.017065707,0.002511251
